ticker,date,open,high,low,close,volume,adj_close,created_at
LLOY.L,2023-09-07,41.2,41.667,41.03,41.03,75967110,41.03,2025-06-23 12:50:12.894
LLOY.L,2023-09-08,41.06,41.415,40.705,41.34,147483289,41.34,2025-06-23 12:50:12.896
LLOY.L,2023-09-11,41.6,41.975,41.277,41.58,156914685,41.58,2025-06-23 12:50:12.897
LLOY.L,2023-09-12,41.95,42.49,41.665,42.48,165061570,42.48,2025-06-23 12:50:12.898
LLOY.L,2023-09-13,42.74,42.89,42.475,42.6,111797115,42.6,2025-06-23 12:50:12.899
LLOY.L,2023-09-14,42.63,43.355,42.385,43.23,174804740,43.23,2025-06-23 12:50:12.901
LLOY.L,2023-09-15,43.525,43.695,43.07,43.2,410881995,43.2,2025-06-23 12:50:12.902
LLOY.L,2023-09-18,43.165,43.22,42.095,42.155,95176139,42.155,2025-06-23 12:50:12.903
LLOY.L,2023-09-19,41.965,42.9,41.63,42.9,192122023,42.9,2025-06-23 12:50:12.904
LLOY.L,2023-09-20,43.0,44.7,42.96,44.56,301530724,44.56,2025-06-23 12:50:12.905
LLOY.L,2023-09-21,44.17,45.595,44.13,44.425,228768917,44.425,2025-06-23 12:50:12.907
LLOY.L,2023-09-22,44.34,46.055,44.243,45.34,341794656,45.34,2025-06-23 12:50:12.908
LLOY.L,2023-09-25,45.0,45.475,44.435,44.75,157412846,44.75,2025-06-23 12:50:12.909
LLOY.L,2023-09-26,44.775,44.925,44.435,44.925,115017094,44.925,2025-06-23 12:50:12.91
LLOY.L,2023-09-27,44.84,45.3,44.28,44.57,146505711,44.57,2025-06-23 12:50:12.912
LLOY.L,2023-09-28,44.7,44.7,43.785,44.26,194582788,44.26,2025-06-23 12:50:12.913
LLOY.L,2023-09-29,44.455,44.855,44.215,44.37,93860934,44.37,2025-06-23 12:50:12.914
LLOY.L,2023-10-02,44.425,44.69,43.27,43.27,102276009,43.27,2025-06-23 12:50:12.916
LLOY.L,2023-10-03,43.035,43.5,42.675,42.815,77914964,42.815,2025-06-23 12:50:12.917
LLOY.L,2023-10-04,42.45,42.99,42.2,42.46,254168072,42.46,2025-06-23 12:50:12.918
LLOY.L,2023-10-05,42.525,42.595,42.04,42.17,121200278,42.17,2025-06-23 12:50:12.92
LLOY.L,2023-10-06,42.18,42.905,41.865,42.625,80179745,42.625,2025-06-23 12:50:12.921
LLOY.L,2023-10-09,42.31,42.655,41.998,42.11,199447444,42.11,2025-06-23 12:50:12.922
LLOY.L,2023-10-10,42.525,43.63,41.87,43.37,101122156,43.37,2025-06-23 12:50:12.923
LLOY.L,2023-10-11,43.185,43.59,43.017,43.275,100458208,43.275,2025-06-23 12:50:12.924
