id,ticker,setup_id,title,publisher,link,provider_publish_time,content_summary,sentiment_score,relevance_score,article_type,setup_date_window,days_before_setup,created_at,updated_at
11,SSPG.L,SSPG_2025-03-14,When Should You Buy SSP Group plc (LON:SSPG)?,Simply Wall St.,https://finance.yahoo.com/news/buy-ssp-group-plc-lon-113758683.html,2025-02-26 11:37:58,"When Should You Buy SSP Group plc (LON:SSPG)?. While SSP Group plc ( LON:SSPG ) might not have the largest market cap around , it saw a double-digit share price rise...",0.0,1.0,story,2025-03-14,15,2025-06-26 12:35:55.356414,2025-06-26 12:35:55.356414
12,BLND.L,BLND_2025-04-22,Are Finance Stocks Lagging  CME Group (CME) This Year?,Zacks,https://finance.yahoo.com/news/finance-stocks-lagging-cme-group-134010022.html,2025-04-14 13:40:10,Are Finance Stocks Lagging  CME Group (CME) This Year?. Here is how CME Group (CME) and British Land Company PLC Sponsored ADR (BTLCY) have performed compared to their sector so far this year.,0.0,1.0,story,2025-04-22,7,2025-06-26 14:34:34.412436,2025-06-26 14:34:34.412436
13,BLND.L,BLND_2025-04-22,Is Avidbank Holdings (AVBH) Outperforming Other Finance Stocks This Year?,Zacks,https://finance.yahoo.com/news/avidbank-holdings-avbh-outperforming-other-134012738.html,2025-03-28 13:40:12,Is Avidbank Holdings (AVBH) Outperforming Other Finance Stocks This Year?. Here is how Avidbank Holdings Inc. (AVBH) and British Land Company PLC Sponsored ADR (BTLCY) have performed compared to their sector so far this year.,0.0,1.0,story,2025-04-22,24,2025-06-26 14:34:34.418016,2025-06-26 14:34:34.418016
14,BLND.L,BLND_2025-04-22,British Land announces Broadgate Tower redevelopment in London,World Construction Network,https://www.worldconstructionnetwork.com/news/british-land-broadgate-tower-redevelopment-london/,2025-03-25 12:33:59,"British Land announces Broadgate Tower redevelopment in London. The redevelopment plan includes an approximately 6,200ft² terrace at the front of the tower, among other additions.",0.0,1.0,story,2025-04-22,27,2025-06-26 14:34:34.419961,2025-06-26 14:34:34.419961
15,BLND.L,BLND_2025-04-22,British Land gains planning approval for Euston Tower redevelopment,World Construction Network,https://www.worldconstructionnetwork.com/news/british-land-gains-planning-approval-euston-tower-redevelopment/,2025-03-24 10:51:25,"British Land gains planning approval for Euston Tower redevelopment. The 31-storey building will offer 19,000ft² floor plates alongside terraces and shared amenity areas.",0.0,1.0,story,2025-04-22,28,2025-06-26 14:34:34.421958,2025-06-26 14:34:34.421958
16,BLND.L,BLND_2025-03-21,Shareholders in British Land (LON:BLND) are in the red if they invested five years ago,Simply Wall St.,https://finance.yahoo.com/news/shareholders-british-land-lon-blnd-062424950.html,2025-01-03 06:24:24,"Shareholders in British Land (LON:BLND) are in the red if they invested five years ago. The main aim of stock picking is to find the market-beating stocks. But in any portfolio, there will be mixed results...",0.0,1.0,story,2025-03-21,76,2025-06-26 14:34:55.709146,2025-06-26 14:34:55.709146
17,BLND.L,BLND_2025-02-07,British Land Co PLC (BRLAF) (H1 2025) Earnings Call Highlights: Resilient Performance Amid ...,GuruFocus.com,https://finance.yahoo.com/news/british-land-co-plc-brlaf-070117717.html,2024-11-21 07:01:17,"British Land Co PLC (BRLAF) (H1 2025) Earnings Call Highlights: Resilient Performance Amid .... British Land Co PLC (BRLAF) reports steady profit growth and high retail park occupancy, while navigating challenges in rental income and leverage.",0.0,1.0,story,2025-02-07,77,2025-06-26 15:30:58.977722,2025-06-26 15:30:58.977722
18,BLND.L,BLND_2025-02-07,"Trending tickers: Nvidia, Nokia, Walmart, Volkswagen and British Land",Yahoo Finance UK,https://uk.finance.yahoo.com/news/trending-tickers-nvidia-nokia-walmart-volkswagen-and-british-land-122653517.html,2024-11-20 12:26:53,"Trending tickers: Nvidia, Nokia, Walmart, Volkswagen and British Land. The latest investor updates on stocks that are trending on Wednesday.",0.0,1.0,story,2025-02-07,78,2025-06-26 15:30:58.982788,2025-06-26 15:30:58.982788
19,SSPG.L,SSPG_2025-04-25,Returns On Capital At SSP Group (LON:SSPG) Paint A Concerning Picture,Simply Wall St.,https://finance.yahoo.com/news/returns-capital-ssp-group-lon-104625748.html,2025-05-01 10:46:25,"Returns On Capital At SSP Group (LON:SSPG) Paint A Concerning Picture. If you're looking for a multi-bagger, there's a few things to keep an eye out for. In a perfect world, we'd like to see...",0.0,1.0,story,2025-04-25,-7,2025-06-26 17:11:51.614243,2025-06-26 17:11:51.614243
20,SSPG.L,SSPG_2025-04-25,An Intrinsic Calculation For SSP Group plc (LON:SSPG) Suggests It's 47% Undervalued,Simply Wall St.,https://finance.yahoo.com/news/intrinsic-calculation-ssp-group-plc-054905513.html,2025-04-15 05:49:05,An Intrinsic Calculation For SSP Group plc (LON:SSPG) Suggests It's 47% Undervalued. Key Insights The projected fair value for SSP Group is UK£2.74 based on 2 Stage Free Cash Flow to Equity SSP Group is...,0.0,1.0,story,2025-04-25,9,2025-06-26 17:11:51.629896,2025-06-26 17:11:51.629896
21,SSPG.L,SSPG_2025-04-25,Why SSP Group plc (LON:SSPG) Looks Like A Quality Company,Simply Wall St.,https://finance.yahoo.com/news/why-ssp-group-plc-lon-070639332.html,2025-03-29 07:06:39,"Why SSP Group plc (LON:SSPG) Looks Like A Quality Company. While some investors are already well versed in financial metrics (hat tip), this article is for those who would like...",0.0,1.0,story,2025-04-25,26,2025-06-26 17:11:51.629896,2025-06-26 17:11:51.629896
22,KZG.L,KZG_2024-12-16,3 UK Penny Stocks To Consider In December 2024,Simply Wall St.,https://finance.yahoo.com/news/3-uk-penny-stocks-consider-060440502.html,2024-12-16 06:04:40,"3 UK Penny Stocks To Consider In December 2024. The UK stock market has recently faced challenges, with the FTSE 100 and FTSE 250 indices experiencing declines amid weak trade data from China, highlighting global economic interdependencies. Despite these broader market pressures, there remain opportunities for investors willing to explore smaller or newer companies often categorized as penny stocks. While the term ""penny stocks"" may seem outdated, these investments can still offer significant gr",0.0,1.0,story,2024-12-16,-1,2025-06-26 19:49:37.288878,2025-06-26 19:49:37.288878
23,KZG.L,KZG_2024-12-16,Kazera Global Full Year 2024 Earnings: UK£0.003 loss per share (vs UK£0.002 loss in FY 2023),Simply Wall St.,https://finance.yahoo.com/news/kazera-global-full-2024-earnings-082055982.html,2024-12-15 08:20:55,Kazera Global Full Year 2024 Earnings: UK£0.003 loss per share (vs UK£0.002 loss in FY 2023). Kazera Global ( LON:KZG ) Full Year 2024 Results Key Financial Results Net loss: UK£2.82m (loss widened by 99% from FY...,0.0,1.0,story,2024-12-16,0,2025-06-26 19:49:37.295907,2025-06-26 19:49:37.295907
24,KZG.L,KZG_2024-12-16,Positive Signs As Multiple Insiders Buy Kazera Global Stock,Simply Wall St.,https://finance.yahoo.com/news/positive-signs-multiple-insiders-buy-095911154.html,2024-11-23 09:59:11,"Positive Signs As Multiple Insiders Buy Kazera Global Stock. Generally, when a single insider buys stock, it is usually not a big deal. However, when several insiders are buying...",0.0,1.0,story,2024-12-16,22,2025-06-26 19:49:37.298049,2025-06-26 19:49:37.298049
25,KZG.L,KZG_2024-12-16,WHM gets environmental nod for Perdevlei concession in South Africa,Mining Technology,https://www.mining-technology.com/news/whm-nod-perdevlei-concession/,2024-11-21 16:06:44,"WHM gets environmental nod for Perdevlei concession in South Africa. The concession holds around 170 hectares (ha) of high-grade heavy mineral sands deposits, ready for immediate mining.",0.0,1.0,story,2024-12-16,24,2025-06-26 19:49:37.300172,2025-06-26 19:49:37.300172
