setup_id,setup_date,stock_ticker,day_number,trading_date,stock_price,benchmark_price,stock_return_day,benchmark_return_day,outperformance_day,stock_return_cumulative,benchmark_return_cumulative,outperformance_cumulative,is_outperforming_day,benchmark_ticker,calculation_date
SSPG_2025-03-14,2025-03-14,SSPG.L,7,2025-03-25,155.7872,693.44,2.838277,0.62688756,2.2113895,-1.3299528,0.82880336,-2.1587563,true,^FTAI,2025-06-25 20:49:41.336
SSPG_2025-03-14,2025-03-14,SSPG.L,8,2025-03-26,155.48723,693.81,-0.19255275,0.053356472,-0.24590921,-1.5199448,0.88260204,-2.402547,false,^FTAI,2025-06-25 20:49:41.337
SSPG_2025-03-14,2025-03-14,SSPG.L,9,2025-03-27,155.7872,696.76,0.19292423,0.4251902,-0.23226598,-1.3299528,1.311545,-2.6414979,false,^FTAI,2025-06-25 20:49:41.339
SSPG_2025-03-14,2025-03-14,SSPG.L,10,2025-03-28,153.28741,696.62,-1.604616,-0.020095104,-1.5845209,-2.9132283,1.2911863,-4.2044144,false,^FTAI,2025-06-25 20:49:41.34
MSLH_2024-07-11,2024-07-11,MSLH.L,1,2024-07-12,351.4057,786.17,1.443001,0.59370124,0.8492998,1.443001,0.59370124,0.8492998,true,^FTAI,2025-06-25 20:50:39.043
MSLH_2024-07-11,2024-07-11,MSLH.L,2,2024-07-15,352.9053,785.48,0.42674416,-0.087767586,0.51451176,1.8759031,0.5054126,1.3704906,true,^FTAI,2025-06-25 20:50:39.047
MSLH_2024-07-11,2024-07-11,MSLH.L,3,2024-07-16,357.90396,786.98,1.4164302,0.19096604,1.2254641,3.3189042,0.69734377,2.6215603,true,^FTAI,2025-06-25 20:50:39.048
MSLH_2024-07-11,2024-07-11,MSLH.L,4,2024-07-17,346.40704,786.8,-3.2122912,-0.022871315,-3.18942,0.0,0.674313,-0.674313,false,^FTAI,2025-06-25 20:50:39.05
MSLH_2024-07-11,2024-07-11,MSLH.L,5,2024-07-18,349.9061,787.67,1.0100989,0.11057386,0.8995251,1.0100989,0.7856325,0.2244665,true,^FTAI,2025-06-25 20:50:39.051
MSLH_2024-07-11,2024-07-11,MSLH.L,6,2024-07-19,347.90665,784.13,-0.57142496,-0.449424,-0.122000925,0.43290207,0.33267763,0.10022444,false,^FTAI,2025-06-25 20:50:39.053
MSLH_2024-07-11,2024-07-11,MSLH.L,7,2024-07-22,348.90637,783.24,0.28735447,-0.113503456,0.40085793,0.7215005,0.21879658,0.50270396,true,^FTAI,2025-06-25 20:50:39.054
MSLH_2024-07-11,2024-07-11,MSLH.L,8,2024-07-23,346.40704,780.17,-0.7163322,-0.39196253,-0.32436964,0.0,-0.17402355,0.17402355,false,^FTAI,2025-06-25 20:50:39.056
MSLH_2024-07-11,2024-07-11,MSLH.L,9,2024-07-24,336.40973,776.64,-2.886002,-0.45246142,-2.4335406,-2.886002,-0.6256976,-2.2603045,false,^FTAI,2025-06-25 20:50:39.057
MSLH_2024-07-11,2024-07-11,MSLH.L,10,2024-07-25,336.40973,773.03,0.0,-0.46482092,0.46482092,-2.886002,-1.0876101,-1.7983919,true,^FTAI,2025-06-25 20:50:39.059
LGEN_2025-05-29,2025-05-29,LGEN.L,1,2025-05-30,248.7,746.68,0.7698516,0.24702832,0.52282333,0.7698516,0.24702832,0.52282333,true,^FTAI,2025-06-25 23:42:01.019
LGEN_2025-05-29,2025-05-29,LGEN.L,2,2025-06-02,254.1,748.13,2.1712945,0.1941946,1.9770998,2.957862,0.44170263,2.5161593,true,^FTAI,2025-06-25 23:42:01.023
LGEN_2025-05-29,2025-05-29,LGEN.L,3,2025-06-03,253.7,753.51,-0.15742193,0.719127,-0.87654895,2.7957835,1.164006,1.6317775,false,^FTAI,2025-06-25 23:42:01.025
